section	split	mode	method	expert_id	metric	value	reference	notes
teacher_oof_metric	judge_valid_0	L	Joint-risk personalized Teacher	NA	Acc2	0.8422294308	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Joint-risk personalized Teacher	NA	F1	0.841776341	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Joint-risk personalized Teacher	NA	J	0.5542208196	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Joint-risk personalized Teacher	NA	MAE	0.5545735191	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Joint-risk personalized Teacher	NA	Corr	0.7553057751	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Joint-risk personalized Teacher	NA	Acc7	0.5261734929	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Joint-risk personalized Teacher	NA	Acc5	0.547773815	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Joint-risk personalized Teacher	NA	Acc2	0.8432247125	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Joint-risk personalized Teacher	NA	F1	0.8428096091	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Shuffled Judge	NA	J	0.5535445414	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Shuffled Judge	NA	MAE	0.5535445414	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Shuffled Judge	NA	Corr	0.7563919812	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Shuffled Judge	NA	Acc7	0.5261159687	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Shuffled Judge	NA	Acc5	0.5479751496	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Shuffled Judge	NA	Acc2	0.8432615748	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Shuffled Judge	NA	F1	0.8428959092	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Shuffled Judge	NA	J	0.555511554	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Shuffled Judge	NA	MAE	0.555511554	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Shuffled Judge	NA	Corr	0.7544938837	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Shuffled Judge	NA	Acc7	0.5255407271	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Shuffled Judge	NA	Acc5	0.547054763	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Shuffled Judge	NA	Acc2	0.8442937187	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Shuffled Judge	NA	F1	0.8438124977	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Shuffled Judge	NA	J	0.5538216143	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Shuffled Judge	NA	MAE	0.5538216143	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Shuffled Judge	NA	Corr	0.7560996938	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Shuffled Judge	NA	Acc7	0.5276115969	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Shuffled Judge	NA	Acc5	0.5491256328	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Shuffled Judge	NA	Acc2	0.8429666765	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Shuffled Judge	NA	F1	0.8426114703	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Shuffled Judge	NA	J	0.5556008643	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Shuffled Judge	NA	MAE	0.5556008643	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Shuffled Judge	NA	Corr	0.7545052142	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Shuffled Judge	NA	Acc7	0.5251955821	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Shuffled Judge	NA	Acc5	0.546709618	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Shuffled Judge	NA	Acc2	0.8422294308	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Shuffled Judge	NA	F1	0.841776341	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Shuffled Judge	NA	J	0.5542612762	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Shuffled Judge	NA	MAE	0.5546196435	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Shuffled Judge	NA	Corr	0.7553726932	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Shuffled Judge	NA	Acc7	0.5261159687	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Shuffled Judge	NA	Acc5	0.5477162908	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Shuffled Judge	NA	Acc2	0.8431878502	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Shuffled Judge	NA	F1	0.8427740545	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Oracle expert selection	NA	J	0.397100775	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Oracle expert selection	NA	MAE	0.397100775	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Oracle expert selection	NA	Corr	0.8509424998	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Oracle expert selection	NA	Acc7	0.6576161988	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Oracle expert selection	NA	Acc5	0.6786700414	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Oracle expert selection	NA	Acc2	0.9088764376	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Oracle expert selection	NA	F1	0.9086541119	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Oracle expert selection	NA	J	0.3999793211	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Oracle expert selection	NA	MAE	0.3999793211	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Oracle expert selection	NA	Corr	0.8494138144	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Oracle expert selection	NA	Acc7	0.655545329	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Oracle expert selection	NA	Acc5	0.676369075	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Oracle expert selection	NA	Acc2	0.9068121498	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Oracle expert selection	NA	F1	0.9065647441	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Oracle expert selection	NA	J	0.3985118723	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Oracle expert selection	NA	MAE	0.3985118723	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Oracle expert selection	NA	Corr	0.8504113519	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Oracle expert selection	NA	Acc7	0.6546249425	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Oracle expert selection	NA	Acc5	0.6762540267	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Oracle expert selection	NA	Acc2	0.9085815394	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Oracle expert selection	NA	F1	0.9083584941	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Oracle expert selection	NA	J	0.4008900616	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Oracle expert selection	NA	MAE	0.4008900616	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Oracle expert selection	NA	Corr	0.8491245311	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Oracle expert selection	NA	Acc7	0.6543948458	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Oracle expert selection	NA	Acc5	0.6757938334	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Oracle expert selection	NA	Acc2	0.9056325568	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Oracle expert selection	NA	F1	0.9053820193	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Oracle expert selection	NA	J	0.3984472633	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Oracle expert selection	NA	MAE	0.3991205075	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Oracle expert selection	NA	Corr	0.8499730493	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Oracle expert selection	NA	Acc7	0.655545329	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Oracle expert selection	NA	Acc5	0.6767717441	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Oracle expert selection	NA	Acc2	0.9074756709	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Oracle expert selection	NA	F1	0.9072398423	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Best single	NA	J	0.5675894855	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Best single	NA	MAE	0.5675894855	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Best single	NA	Corr	0.7331262589	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Best single	NA	Acc7	0.5104794341	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Best single	NA	Acc5	0.5301283731	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Best single	NA	Acc2	0.8469353764	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Best single	NA	F1	0.8457657925	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Best single	NA	J	0.5688562974	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Best single	NA	MAE	0.5688562974	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Best single	NA	Corr	0.7317825354	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Best single	NA	Acc7	0.5091695048	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Best single	NA	Acc5	0.528556458	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Best single	NA	Acc2	0.8459360426	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Best single	NA	F1	0.8447588227	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Best single	NA	J	0.5673179956	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Best single	NA	MAE	0.5673179956	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Best single	NA	Corr	0.7329896128	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Best single	NA	Acc7	0.5100864553	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Best single	NA	Acc5	0.5301283731	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Best single	NA	Acc2	0.8469353764	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Best single	NA	F1	0.8458279297	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Best single	NA	J	0.5685513297	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Best single	NA	MAE	0.5685513297	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Best single	NA	Corr	0.7316849382	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Best single	NA	Acc7	0.5095624836	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Best single	NA	Acc5	0.5288184438	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Best single	NA	Acc2	0.8469353764	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Best single	NA	F1	0.8458072663	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Best single	NA	J	0.5679156799	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Best single	NA	MAE	0.568078777	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Best single	NA	Corr	0.7323958363	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Best single	NA	Acc7	0.5098244695	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Best single	NA	Acc5	0.529407912	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Best single	NA	Acc2	0.846685543	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Best single	NA	F1	0.8455399528	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Equal average	NA	J	0.5552579669	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Equal average	NA	MAE	0.5552579669	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Equal average	NA	Corr	0.741478517	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Equal average	NA	Acc7	0.5204348965	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Equal average	NA	Acc5	0.5390358921	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Equal average	NA	Acc2	0.848934044	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Equal average	NA	F1	0.8484872556	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Equal average	NA	J	0.5568288533	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Equal average	NA	MAE	0.5568288533	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Equal average	NA	Corr	0.7396701466	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Equal average	NA	Acc7	0.5201729107	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Equal average	NA	Acc5	0.5381189416	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Equal average	NA	Acc2	0.8484343771	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Equal average	NA	F1	0.8479388013	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Equal average	NA	J	0.5551049382	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Equal average	NA	MAE	0.5551049382	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Equal average	NA	Corr	0.7414041334	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Equal average	NA	Acc7	0.5189939743	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Equal average	NA	Acc5	0.537332984	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Equal average	NA	Acc2	0.8494337109	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Equal average	NA	F1	0.8490537089	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Equal average	NA	J	0.5567487965	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Equal average	NA	MAE	0.5567487965	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Equal average	NA	Corr	0.7396059155	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Equal average	NA	Acc7	0.5199109248	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Equal average	NA	Acc5	0.5378569557	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Equal average	NA	Acc2	0.8486009327	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Equal average	NA	F1	0.8481719803	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Equal average	NA	J	0.5557427481	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Equal average	NA	MAE	0.5559851387	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Equal average	NA	Corr	0.7405396781	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Equal average	NA	Acc7	0.5198781766	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Equal average	NA	Acc5	0.5380861933	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Equal average	NA	Acc2	0.8488507662	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Equal average	NA	F1	0.8484129365	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Global fixed stacking	NA	J	0.5553782982	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Global fixed stacking	NA	MAE	0.5553782982	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Global fixed stacking	NA	Corr	0.74151737	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Global fixed stacking	NA	Acc7	0.519648939	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Global fixed stacking	NA	Acc5	0.5386429133	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Global fixed stacking	NA	Acc2	0.8492671552	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Global fixed stacking	NA	F1	0.8488025671	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Global fixed stacking	NA	J	0.5569561356	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Global fixed stacking	NA	MAE	0.5569561356	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Global fixed stacking	NA	Corr	0.7397555989	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Global fixed stacking	NA	Acc7	0.5204348965	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Global fixed stacking	NA	Acc5	0.5385119204	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Global fixed stacking	NA	Acc2	0.8492671552	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Global fixed stacking	NA	F1	0.8487079427	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Global fixed stacking	NA	J	0.5551866268	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Global fixed stacking	NA	MAE	0.5551866268	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Global fixed stacking	NA	Corr	0.7414619197	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Global fixed stacking	NA	Acc7	0.5179460309	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Global fixed stacking	NA	Acc5	0.5366780194	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Global fixed stacking	NA	Acc2	0.8482678215	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Global fixed stacking	NA	F1	0.8478190627	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Global fixed stacking	NA	J	0.5568322038	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Global fixed stacking	NA	MAE	0.5568322038	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Global fixed stacking	NA	Corr	0.7397132977	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Global fixed stacking	NA	Acc7	0.5203039036	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Global fixed stacking	NA	Acc5	0.5382499345	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Global fixed stacking	NA	Acc2	0.8491005996	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Global fixed stacking	NA	F1	0.8486636892	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Global fixed stacking	NA	J	0.5558516434	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Global fixed stacking	NA	MAE	0.5560883161	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Global fixed stacking	NA	Corr	0.7406120466	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Global fixed stacking	NA	Acc7	0.5195834425	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Global fixed stacking	NA	Acc5	0.5380206969	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Global fixed stacking	NA	Acc2	0.8489756829	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Global fixed stacking	NA	F1	0.8484983154	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Per-mode fixed stacking	NA	J	0.5552048653	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Per-mode fixed stacking	NA	MAE	0.5552048653	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Per-mode fixed stacking	NA	Corr	0.7416527621	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Per-mode fixed stacking	NA	Acc7	0.521351847	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Per-mode fixed stacking	NA	Acc5	0.5400838355	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Per-mode fixed stacking	NA	Acc2	0.848934044	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Per-mode fixed stacking	NA	F1	0.8484306362	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Per-mode fixed stacking	NA	J	0.556945224	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Per-mode fixed stacking	NA	MAE	0.556945224	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Per-mode fixed stacking	NA	Corr	0.7396820605	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Per-mode fixed stacking	NA	Acc7	0.5200419177	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Per-mode fixed stacking	NA	Acc5	0.5383809274	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Per-mode fixed stacking	NA	Acc2	0.8491005996	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Per-mode fixed stacking	NA	F1	0.8485882798	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Per-mode fixed stacking	NA	J	0.5552020295	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Per-mode fixed stacking	NA	MAE	0.5552020295	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Per-mode fixed stacking	NA	Corr	0.7415088326	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Per-mode fixed stacking	NA	Acc7	0.5191249673	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Per-mode fixed stacking	NA	Acc5	0.5377259628	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Per-mode fixed stacking	NA	Acc2	0.8487674883	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Per-mode fixed stacking	NA	F1	0.8483483906	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Per-mode fixed stacking	NA	J	0.55696562	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Per-mode fixed stacking	NA	MAE	0.55696562	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Per-mode fixed stacking	NA	Corr	0.7395927454	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Per-mode fixed stacking	NA	Acc7	0.5188629814	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Per-mode fixed stacking	NA	Acc5	0.5369400052	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Per-mode fixed stacking	NA	Acc2	0.8492671552	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	L	Per-mode fixed stacking	NA	F1	0.8488400904	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Per-mode fixed stacking	NA	J	0.5557879116	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Per-mode fixed stacking	NA	MAE	0.5560794347	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Per-mode fixed stacking	NA	Corr	0.7406091002	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Per-mode fixed stacking	NA	Acc7	0.5198454283	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Per-mode fixed stacking	NA	Acc5	0.5382826827	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Per-mode fixed stacking	NA	Acc2	0.8490173218	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	Overall	Per-mode fixed stacking	NA	F1	0.8485518492	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Mode-only weighting	NA	J	0.5552553382	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Mode-only weighting	NA	MAE	0.5552553382	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Mode-only weighting	NA	Corr	0.7414776541	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Mode-only weighting	NA	Acc7	0.5205658894	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Mode-only weighting	NA	Acc5	0.539166885	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Mode-only weighting	NA	Acc2	0.848934044	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LAV	Mode-only weighting	NA	F1	0.8484872556	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Mode-only weighting	NA	J	0.5568227699	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Mode-only weighting	NA	MAE	0.5568227699	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Mode-only weighting	NA	Corr	0.7396713481	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Mode-only weighting	NA	Acc7	0.5200419177	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Mode-only weighting	NA	Acc5	0.5379879487	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Mode-only weighting	NA	Acc2	0.8484343771	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LA	Mode-only weighting	NA	F1	0.8479388013	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Mode-only weighting	NA	J	0.5551046461	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Mode-only weighting	NA	MAE	0.5551046461	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Mode-only weighting	NA	Corr	0.7414019331	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Mode-only weighting	NA	Acc7	0.5188629814	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Mode-only weighting	NA	Acc5	0.5372019911	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_1	LV	Mode-only weighting	NA	Acc2	0.8496002665	Per-mode fixed stacking	NA
